1;list
1;machine
1;algorithms
1;importance
1;engineer
2;James_Le_New_Story_Charity
4;doubt
4;field
4;machine_learning
4;intelligence
4;popularity
4;couple
4;years
5;Big_Data
5;trend
5;tech_industry
5;moment_machine_learning
5;predictions
5;suggestions
5;amounts
5;data
6;examples
6;machine_learning
6;Netflix_s_algorithms
6;movie_suggestions
6;movies
6;Amazon
6;algorithms
6;books
6;books
7;machine
7;introduction
7;Artificial_Intelligence_class
7;Copenhagen
8;lecturer
8;time_Applied_Math
8;CS_professor
8;Technical_University
8;Denmark
8;research_areas
8;logic
8;use
8;logic
8;model
8;reasoning
8;problem
9;class
9;mix
9;discussion
9;theory_core_concepts
9;hands
9;problem
10;textbook
10;AI_classics_Peter_Norvig
10;Artificial_Intelligence_A_Modern_Approach
10;topics
10;agents_problem
10;search_probability_theory_multi_agent_systems
10;AI_philosophy_ethics_future
10;AI
11;end
11;class
11;team
11;search
11;agents
11;transportation_tasks
11;environment
11;programming_project
12;amount
12;knowledge_thanks
12;class
12;topic
13;weeks
13;tech_talks
13;San_Francisco
13;learning
13;networks_data_architecture
13;Machine_Learning_conference
13;lot
13;professionals
13;field
14;inUdacity_s_Intro
14;Machine_Learning_online_course
14;beginning
14;June
14;days
15;post
15;machine
15;algorithms
15;course
16;Machine_learning_algorithms
16;categories
16;learning
16;reinforcement_learning
17;learning
17;cases
17;property_label
17;dataset_training_set
17;instances
18;learning
18;cases
18;challenge
18;relationships
18;dataset_items
19;Reinforcement_learning
19;extremes
19;form
19;feedback
19;step
19;action
19;label
19;error_message
20;intro_class
20;didn_t
20;reinforcement_learning
20;algorithms
20;learning
22;Decision_Trees
22;decision_tree
22;decision_support_tool
22;tree
22;graph
22;model
22;decisions
22;consequences
22;chance_event_outcomes_resource_costs
22;utility
23;look
23;image
23;sense
26;business_decision_point
26;view
26;decision_tree
26;number
26;questions
26;probability
26;decision
26;time
27;method
27;problem
27;way
27;conclusion
29;Na_ve_Bayes_Classification_Na
29;Bayes_classifiers
29;family
29;classifiers
29;Bayes_theorem
29;independence_assumptions
29;features
30;image
30;equation
30;P_A_B
30;probability_P_B_A
30;likelihood_P_A
30;class
30;probability
30;P_B
30;predictor
30;probability
33;world_examples
35;Least_Squares_Regression
35;statistics
35;regression
36;Least_squares
36;method
36;regression
37;regression
37;task
37;line
37;set
37;points
38;strategies
38;squares_strategy
38;line
38;data_points
38;distance
38;point
38;line
38;line
38;sum
38;distances
41;kind
41;model
41;data
41;squares
41;kind
41;error
43;Logistic_Regression
43;regression
43;way
43;modeling
43;outcome
43;variables
44;relationship
44;variable
44;variables
44;probabilities
44;function
44;distribution
47;regressions
47;world_applications
49;Support_Vector_Machines_SVM
49;classification_algorithm
50;set
50;points
50;types
50;N
50;place_SVM
50;N
50;hyperlane
50;points
50;groups
51;points
51;types
51;paper
52;SVM
52;line
52;points
52;types
52;points
55;terms
55;scale
55;problems
55;SVMs
55;implementations
55;display_advertising
55;splice_site_recognition_image
55;gender_detection
55;scale_image_classification
56;Pages
