object_model;0.5;2.3;1
hierarchical_database_model;1.0;2.2285714285714286;1
network_model;0.5;1.5380952380952382;1
relational_model;0.5;1.5380952380952382;1
database_management_systems;1.0;2.6666666666666665;0
relational_data_model;1.0;2.1904761904761907;0
relational_database;0.5;2.1666666666666665;0
entityrelationship_model;0.5;1.8333333333333333;0
database_management_system;0.944444444445;1.7476190476196032;0
data_definition_language;0.9166666666666667;1.71984126984127;0
database_model;0.5;1.7;0
data_model;0.5;1.7;0
database_model;0.5;1.6666666666666665;0
data_models;0.5;1.480952380952381;0
design;0.5;1.392063492063492;0
object_database;0.5;1.3031746031746032;0
