suffix/prefix/W;Species–area curve;Algebraic function;Species;1
suffix/prefix/W;Learning curve;Algebraic function;Learning;0
suffix/prefix;Algebraic variety;Algebraic function;Algebra;2
suffix/prefix;Algebraic equation;Algebraic function;Algebra;1
suffix/prefix;Algebraic equation;Algebraic function;Algebra;2
