4;Entity
4;object_place_person
4;class
5;E_R_Diagram
5;entity
5;rectangles
6;example
6;Organisation
7;Employee_Manager_Department_Product
7;entities
7;Organisation
19;C
20;C
30;ER_model
30;view
30;database
31;world_entities
31;associations
32;view
32;ER_model
32;option
32;databases
33;Entity_Relationship_ER_model
33;college_database
34;statements
45;entity_relationship_model_ER_model
45;inter
45;things
45;interest
45;domain
45;knowledge
46;ER_model
46;entity_types
46;things
46;interest
46;relationships
46;instances
46;entity_types
49;Entity_relationship_modeling
49;database_design
49;Peter_Chen
49;paper
50;variants
50;idea
51;ER_modelers
51;subtype_entities
51;generalization_specialization_relationships
51;ER_model
51;specification
51;domain
51;ontologies
56;entity_relationship_model
56;result
56;analysis
56;processes
56;area
56;business
57;business
57;business_data_schema
57;form
58;form
58;boxes_entities
58;lines_relationships
58;associations
58;dependencies
58;entities
59;ER_model
59;form
59;example
59;building
59;apartments
59;apartment
59;building
