12;majority
12;machine_learning
12;learning
13;learning
13;input_variables
13;output
13;Y
13;algorithm
13;mapping_function
13;input
13;output
27;algorithms
27;Support_Vector_Machines
27;regression
27;regression
27;Bayes
27;analysis
27;decision_trees
27;k
27;neighbor_algorithm
27;Neural_Networks_Multilayer_perceptron
29;learning
29;type
29;machine_learning_algorithm
29;dataset
29;training_dataset
29;predictions
30;training_dataset
30;input_data
30;response_values
31;learning_algorithm
31;model
31;predictions
31;response_values
31;dataset
32;test_dataset
32;model
33;training_datasets
33;models
33;power
33;datasets
34;data_science_course
34;data_science_pipeline
34;focus
34;machine_learning
35;teaching_model_evaluation_procedures
35;metrics
35;algorithms
35;learning
37;terms
