1	2	http://mathonweb.com/help_ebook/html/functions_4.htm	quadratic	0.2	0.25	1	1.45	0	1					
1	5	http://mathonweb.com/help_ebook/html/functions_4.htm	rational	0.2	0.25	1	1.45	0	1					
1	8	http://mathonweb.com/help_ebook/html/functions_4.htm	sinusoidal	0.2	0.25	1	1.45	0	1					
1	41	http://math.tutorvista.com/algebra/algebraic-functions.html	types	0.2	1	0.2307692308	1.4307692308	0	0					
2	49	https://en.wikipedia.org/wiki/Algebraic_curve	smooth_function	0.7	0.037037037	0.6153846154	1.3524216524	0	0	is_the_graph_of	is	be_monotone_on		
1	57	http://study.com/academy/lesson/graphs-types-examples-functions.html	positive	0.2	0.1379310345	1	1.3379310345	0	0	be_based_on	is			
2	48	https://en.wikipedia.org/wiki/Algebraic_curve	points	0.6	0.1111111111	0.6153846154	1.3264957265	0	0	may_be_uniquely_decomposed_remarkable_points_into	be_connected_by	may_be_uniquely_decomposed		
1	43	http://math.tutorvista.com/calculus/types-of-functions.html	domain	0.2	0.1176470588	1	1.3176470588	0	0	will_be				
2	1	https://en.wikipedia.org/wiki/List_of_curves	wikipedia_page	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
2	7	https://en.wikipedia.org/wiki/List_of_curves	bathtub_curve	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
2	8	https://en.wikipedia.org/wiki/List_of_curves	bell_curve	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
2	9	https://en.wikipedia.org/wiki/List_of_curves	calibration_curve	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
2	12	https://en.wikipedia.org/wiki/List_of_curves	fish_curve	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
2	14	https://en.wikipedia.org/wiki/List_of_curves	forgetting_curve	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
2	15	https://en.wikipedia.org/wiki/List_of_curves	gompertz_curve	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
2	16	https://en.wikipedia.org/wiki/List_of_curves	growth_curve	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
2	17	https://en.wikipedia.org/wiki/List_of_curves	hubbert_curve	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
2	18	https://en.wikipedia.org/wiki/List_of_curves	kruithof_curve	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
2	19	https://en.wikipedia.org/wiki/List_of_curves	learning_curve	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
2	20	https://en.wikipedia.org/wiki/List_of_curves	light_curve	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
2	21	https://en.wikipedia.org/wiki/List_of_curves	logistic_curve	0.6	0.0869565217	0.6153846154	1.3023411371	0	0					
