1suffix/prefix/W2;0.0;universal hashing;hash function
1suffix/prefix/W2;0.0;one-way compression function;hash function
Category Match;1.0;collision attack;hash function;Error detection and correction;2;Error detection and correction;0
1suffix/prefix;2;perfect hash function;hash function
1suffix/prefix;2;cryptographic hash function;hash function
1suffix/prefix/W2;0.0;function (mathematics);hash function
1suffix/prefix/W2;0.0;hash table;hash function
