1	40	https://en.wikipedia.org/wiki/Data_model	basic_graphic_elements	1	0.0666666667	0.6923076923	1.758974359	0	0	be_The_basic_graphic_elements_of						
1	41	https://en.wikipedia.org/wiki/Data_model	data_structure_diagrams	1	0.0666666667	0.6923076923	1.758974359	0	0							
5	8	http://www.computerbusinessresearch.com/Home/database/network-database-model	database_model	0.625	0.2857142857	0.8461538462	1.7568681319	0	0							
4	43	https://www.dlsweb.rmit.edu.au/toolbox/Database/Certificate4_DB_Toolbox/content/models/hierarchical_model.htm	traditional_file_system	1	0.0625	0.6923076923	1.7548076923	0	0	developed_to_overcome	was					
5	85	https://www.lucidchart.com/pages/database-diagram/database-models	database_model_shows	0.875	0.0263157895	0.8461538462	1.7474696356	0	0	shows						
4	1	https://en.wikipedia.org/wiki/Hierarchical_database_model	early_mainframe_dbms	1	0.0526315789	0.6923076923	1.7449392713	0	1	was_developed_by	was_developed_in	used_in				
4	4	https://en.wikipedia.org/wiki/Hierarchical_database_model	hierarchical_database_system	1	0.0526315789	0.6923076923	1.7449392713	0	1	are_examples_of	are_examples_of_a_hierarchical_database_system_over					
2	45	http://www.tomjewett.com/dbdesign/dbdesign.php%3Fpage%3Dmodels.html	selected_information_needed	1	0.05	0.6923076923	1.7423076923	0	0	is_a_model_of	be_needed_by	is	be_contains_by	is_a_model_of_the_real_world_in		
1	34	http://www.agiledata.org/essays/dataModeling101.html	analyst_led_drawing_session	1	0.0416666667	0.6923076923	1.733974359	0	0	can_instead_facilitate_stakeholders_through	can_instead_facilitate	can_be_instead_facilitate_through				
0	1	https://en.wikipedia.org/wiki/Database_model	databases_include	0.625	0.1	1	1.725	0	1							
0	6	https://en.wikipedia.org/wiki/Database_model	object_model	0.625	0.1	1	1.725	0	1							
0	8	https://en.wikipedia.org/wiki/Database_model	entity_attribute	0.625	0.1	1	1.725	0	1	attribute						
8	53	https://www.lucidchart.com/pages/database-diagram/database-models	entire_flat_file	1	0.03125	0.6923076923	1.7235576923	0	0	has_to_read_the_entire_flat_file_into	to_read_the_entire_flat_file_into	has_to_read	to_be_read_into			
8	27	https://www.techopedia.com/definition/25330/flat-database	simple_text_file	1	0.0303030303	0.6923076923	1.7226107226	0	0	be_physically_represented_as						
6	28	https://opentextbc.ca/dbdesign/chapter/chapter-8-entity-relationship-model/	er_models	0.625	0.25	0.8461538462	1.7211538462	0	0	are_represented_by						
6	52	http://www.careerbless.com/db/rdbms/c1/er2.php	college_database	0.625	0.25	0.8461538462	1.7211538462	0	0	to_design	Here_are_going_to_design					
4	76	http://www.computerbusinessresearch.com/Home/database/hierarchical-database-model	specific_data_recorded	1	0.0136986301	0.6923076923	1.7060063224	0	0	be_recorded_under						
4	78	http://www.computerbusinessresearch.com/Home/database/hierarchical-database-model	single_parent_information	1	0.0136986301	0.6923076923	1.7060063224	0	0	can_be_repeated	be_children_under					
4	82	http://www.computerbusinessresearch.com/Home/database/hierarchical-database-model	parent_child_relationships	1	0.0136986301	0.6923076923	1.7060063224	0	0	are_all_link_together_by	are_all_link_together_in					
8	74	http://www.databasedev.co.uk/flatfile-vs-rdbms.html	paste_relevant_information	1	0.0113636364	0.6923076923	1.7036713287	0	0	need_to_paste_relevant_information_from	need_to_paste_relevant_information_to	to_be_paste_from	need_to_paste	to_paste_to_be	decide_to_merge	
8	78	http://www.databasedev.co.uk/flatfile-vs-rdbms.html	flat_files_offer	1	0.0113636364	0.6923076923	1.7036713287	0	0	offer	be_manipulate_with	offer_the_functionality_to_store_information_manipulate_fields_print_or_display_formatted_information_and_exchange_information_with_others_over	offer_the_functionality_to_store_information_manipulate_fields_print_or_display_formatted_information_and_exchange_information_with_others_through			
