Computer architecture;Symmetric multiprocessing
Software architecture;Symmetric multiprocessing
Multi-core processor;Symmetric multiprocessing
Asymmetric multiprocessing;Symmetric multiprocessing
Wikipedia:Disambiguation;Symmetric multiprocessing
System call;Symmetric multiprocessing
Symmetric multiprocessing;Symmetric multiprocessing
Operating system;Symmetric multiprocessing
